filter,time,mag,magerr,upperlimit
V,66,13.21,0.24,0
V,67,12.9,0.23,0
V,68,12.86,0.23,0
V,69,13.01,0.23,0
V,70,12.97,0.23,0
V,71,13.31,0.23,0
V,72,13.13,0.23,0
V,73,13.01,0.23,0
V,78,13.13,0.1,0
V,83,13.26,0.1,0
V,88,13.18,0.1,0
V,93,13.24,0.11,0
V,98,13.25,0.11,0
V,103,13.51,0.11,0
V,108,13.44,0.11,0
V,113,13.67,0.11,0
V,118,13.48,0.11,0
V,123,13.62,0.11,0
V,128,13.86,0.12,0
V,133,13.7,0.11,0
V,138,13.83,0.12,0
V,143,13.81,0.12,0
V,148,13.84,0.12,0
V,153,13.87,0.12,0
V,158,14.06,0.12,0
V,163,14.0,0.12,0
V,168,14.01,0.12,0
V,173,14.08,0.13,0
M2,187,14.189034332405754,0.1,0
W1,202,14.297146781091685,0.07,0
U,215,14.384537780730602,0.18,0
B,229,14.47292871291764,0.12,0
W2,245,14.567557947234267,0.11,0
V,258,14.64,0.14,0
M2,272,14.969034332405755,0.14,0
W1,286,14.867146781091686,0.09,0
U,299,14.764537780730603,0.18,0
B,313,14.87292871291764,0.12,0
W2,329,15.177557947234268,0.16,0
V,342,14.79,0.15,0
M2,356,15.249034332405754,0.16,0
W1,370,15.457146781091685,0.12,0
B,397,15.19292871291764,0.13,0
W2,413,15.007557947234268,0.14,0
U,419,15.154537780730603,0.19,0
V,426,15.22,0.17,0
M2,440,15.589034332405754,0.19,0
W1,455,15.787146781091685,0.14,0
U,468,15.394537780730603,0.19,0
B,482,15.31292871291764,0.14,0
W2,498,15.477557947234267,0.18,0
V,511,15.47,0.19,0
M2,525,16.489034332405755,0.3,0
W1,539,15.907146781091686,0.15,0
U,552,15.654537780730603,0.2,0
B,571,15.38292871291764,0.14,0
W2,582,15.097557947234268,0.15,0
V,595,16.06,0.24,0
M2,609,15.549034332405755,0.19,0
W1,624,15.947146781091686,0.15,0
U,637,15.694537780730602,0.2,0
B,651,15.812928712917639,0.16,0
W2,666,15.677557947234268,0.2,0
V,680,15.83,0.22,0
M2,694,15.829034332405755,0.21,0
W1,708,15.907146781091686,0.15,0
U,721,15.824537780730603,0.2,0
B,735,15.712928712917641,0.16,0
W2,751,15.597557947234268,0.19,0
V,764,16.06,0.25,0
M2,778,16.159034332405753,0.26,0
W1,792,16.567146781091687,0.21,0
U,805,16.1445377807306,0.21,0
B,820,16.24292871291764,0.2,0
W2,835,16.307557947234265,0.27,0
V,849,15.78,0.22,0
M2,863,16.219034332405755,0.26,0
W1,877,16.837146781091683,0.24,0
U,890,15.974537780730602,0.21,0
B,904,16.12292871291764,0.2,0
W2,920,16.087557947234266,0.25,0
V,933,15.85,0.24,0
M2,947,16.309034332405755,0.27,0
W1,961,16.447146781091686,0.2,0
U,975,16.0045377807306,0.22,0
B,1034,16.29292871291764,0.11,0
W2,1140,16.227557947234267,0.08,0
V,1243,16.34,0.15,0
M2,5984,17.749034332405756,0.06,0
W1,6761,18.017146781091682,0.06,0
U,12019,18.344537780730604,0.17,0
B,12671,18.27292871291764,0.18,0
B,16182,18.37292871291764,0.17,0
W2,17973,18.867557947234268,0.13,0
V,18575,18.15,0.41,0
V,22163,19.1,0.27,0
M2,24007,19.609034332405756,0.19,0
W1,28111,20.177146781091686,0.19,0
U,28664,19.534537780730602,0.3,0
U,29380,19.4745377807306,0.2,0
B,30031,19.50292871291764,0.52,0
B,33898,20.52292871291764,0.45,0
W2,34806,19.92755794723427,0.25,0
V,35638,18.86,0.27,0
M2,39683,20.369034332405754,0.3,0
W1,40585,21.017146781091682,0.39,0
U,41040,20.674537780730603,0.54,0
B,45468,,20.7,1
V,49320,,20.62,1
M2,51257,20.989034332405755,0.48,0
W1,52100,,21.05,1
W2,52162,,21.76,1
U,52994,,19.68,1
B,62549,,21.55,1
W1,63738,,21.2,1
M2,74798,,21.59,1
U,128928,,20.05,1
V,971360,,22.09,1
V,1171176,,21.16,1
